Rank,Country,Count,Ratio
1,United States of America,2043,56.60%
2,Canada,211,5.80%
3,United Kingdom,140,3.90%
4,Germany,132,3.70%
5,Italy,74,2.00%
6,France,70,1.90%
7,Brazil,67,1.90%
8,Australia,65,1.80%
9,Spain,60,1.70%
10,India,49,1.40%
11,Taiwan,36,1.00%
12,Japan,35,1.00%
13,Mexico,29,0.80%
14,Singapore,26,0.70%
15,China,24,0.70%
16,Switzerland,23,0.60%
17,Netherlands,23,0.60%
18,Belgium,20,0.60%
19,Thailand,18,0.50%
20,Israel,18,0.50%
21,Indonesia,17,0.50%
22,Argentina,17,0.50%
23,Sweden,16,0.40%
24,Colombia,16,0.40%
25,South Africa,14,0.40%
26,Czech Republic,13,0.40%
27,Austria,13,0.40%
28,Malaysia,13,0.40%
29,Vietnam,12,0.30%
30,Portugal,12,0.30%
31,South Korea,11,0.30%
32,Egypt,11,0.30%
33,Chile,11,0.30%
34,Norway,11,0.30%
35,Romania,10,0.30%
36,Peru,10,0.30%
37,Poland,10,0.30%
38,TÃ¼rkiye,9,0.20%
39,Greece,9,0.20%
40,United Arab Emirates,8,0.20%
41,Ireland,8,0.20%
42,New Zealand,8,0.20%
43,Saudi Arabia,6,0.20%
44,Pakistan,6,0.20%
45,Philippines,6,0.20%
46,Cyprus,6,0.20%
47,Luxembourg,4,0.10%
48,Kenya,4,0.10%
49,Denmark,4,0.10%
50,Jordan,4,0.10%
51,Croatia,4,0.10%
52,Dominican Republic,4,0.10%
53,Ecuador,4,0.10%
54,Nigeria,3,0.10%
55,Finland,3,0.10%
56,Slovakia,3,0.10%
57,Venezuela,3,0.10%
58,Hungary,3,0.10%
59,Jamaica,3,0.10%
60,El Salvador,3,0.10%
61,Monaco,2,0.10%
62,Malta,2,0.10%
63,Uruguay,2,0.10%
64,Bangladesh,2,0.10%
65,Hong Kong,2,0.10%
66,Estonia,2,0.10%
67,Sri Lanka,2,0.10%
68,Tunisia,2,0.10%
69,Turkey,2,0.10%
70,Cayman Islands,2,0.10%
71,Botswana,2,0.10%
72,Bulgaria,2,0.10%
73,Morocco,2,0.10%
74,Russia,2,0.10%
75,Ukraine,1,0.00%
76,Bosnia and Herzegovina,1,0.00%
77,Bolivia,1,0.00%
78,Barbados,1,0.00%
79,Bahamas,1,0.00%
80,Iraq,1,0.00%
81,Honduras,1,0.00%
82,Bahrain,1,0.00%
83,Fiji,1,0.00%
84,Maldives,1,0.00%
85,Laos,1,0.00%
86,Lithuania,1,0.00%
87,Kiribati,1,0.00%
88,Guatemala,1,0.00%
89,Guadeloupe,1,0.00%
90,Oman,1,0.00%
91,Republic of Ghana,1,0.00%
92,Qatar,1,0.00%
93,Palau,1,0.00%
94,Panama,1,0.00%
95,Slovenia,1,0.00%
96,Serbia,1,0.00%
97,Costa Rica,1,0.00%
98,Tanzania,1,0.00%